Submission_Id,prob_id,Problem Name,User_Rating,User_Name,Tags,Problem_Rating,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
147975009,1,1037CEqualize,1212.0,akshayjadhav7670,"['dp', 'greedy', 'strings']",1300.0,,,,,
147975006,2,266BQueue at the School,912.0,aryans_18,"['constructive algorithms', 'graph matchings', 'implementation', 'shortest paths']",800.0,,,,,
147975005,3,1583BOmkar and Heavenly Tree,1297.0,abhishek_s3107,"['constructive algorithms', 'trees']",1200.0,,,,,
147975003,4,112APetya and Strings,,fjafari,"['implementation', 'strings']",800.0,,,,,
147975000,5,443AAnton and Letters,352.0,manish_rohila,"['constructive algorithms', 'implementation']",800.0,,,,,
147974999,6,771ABear and Friendship Condition,1291.0,Animeshmaru,"['dfs and similar', 'dsu', 'graphs']",1500.0,,,,,
147974998,7,616BDinner with Emma,,Bugagaga,"['games', 'greedy']",1000.0,,,,,
147974997,8,496AMinimum Difficulty,,hussainmohamed,"['brute force', 'implementation', 'math']",900.0,,,,,
147974996,9,189ACut Ribbon,1141.0,adityagoyal,"['brute force', 'dp']",1300.0,,,,,
147974995,10,1406BMaximum Product,995.0,horizon__,"['brute force', 'dp', 'greedy', 'implementation', 'sortings']",1200.0,,,,,
147974993,11,977AWrong Subtraction,765.0,AbdelrahmanTarek0.1,['implementation'],800.0,,,,,
147974992,12,1642CGreat Sequence,1043.0,wigbhavya12,"['greedy', 'sortings']",,,,,,
147974990,13,268BButtons,,rider_71,"['implementation', 'math']",1000.0,,,,,
147974988,14,513G2Inversions problem,2269.0,Be_dos,"['dp', 'probabilities']",2400.0,,,,,
147974987,15,1618ESingers' Tour,1498.0,Ikkkkkkms,"['constructive algorithms', 'math']",1700.0,,,,,
147974986,16,1613ALong Comparison,763.0,devansh_5402,"['implementation', 'math']",900.0,,,,,
147974982,17,143AHelp Vasilisa the Wise 2,725.0,kfa,"['brute force', 'math']",1000.0,,,,,
147974980,18,1641ESpecial Positions,2173.0,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974979,19,490ATeam Olympiad,715.0,Nawwaf,"['greedy', 'implementation', 'sortings']",800.0,,,,,
147974978,20,1556BTake Your Places!,1254.0,sahilraj2903,['implementation'],1300.0,,,,,
147974977,21,670D1Magic Powder - 1,832.0,satyam954,"['binary search', 'brute force', 'implementation']",1400.0,,,,,
147974975,22,556ACase of the Zeros and Ones,895.0,HridoyHazard,['greedy'],900.0,,,,,
147974974,23,1637CAndrew and Stones,,Ojesmahi02,"['greedy', 'implementation']",1200.0,,,,,
147974973,24,1398ABad Triangle,1045.0,its_arashk,"['geometry', 'math']",800.0,,,,,
147974970,25,996AHit the Lottery,,Ar0409,"['dp', 'greedy']",800.0,,,,,
147974969,26,1562BScenes From a Memory,880.0,pranab_roy,"['brute force', 'constructive algorithms', 'implementation', 'math', 'number theory']",1000.0,,,,,
147974968,27,579ARaising Bacteria,807.0,zhizhikkkk,['bitmasks'],1000.0,,,,,
147974967,28,1594CMake Them Equal,933.0,PipQuack,"['brute force', 'greedy', 'math', 'strings']",1200.0,,,,,
147974966,29,1578EEasy Scheduling,1369.0,itzashish135ranjan,"['implementation', 'math']",1200.0,,,,,
147974964,30,1335ACandies and Two Sisters,,divyanshi_agarwal,['math'],800.0,,,,,
147974963,31,1141AGame 23,819.0,RaBh1729,"['implementation', 'math']",1000.0,,,,,
147974962,32,339AHelpful Maths,366.0,Phod_de,"['greedy', 'implementation', 'sortings', 'strings']",800.0,,,,,
147974959,33,981AAntipalindrome,972.0,CnohtyPC,"['brute force', 'implementation', 'strings']",900.0,,,,,
147974958,34,580AKefa and First Steps,985.0,cpmayank01,"['brute force', 'dp', 'implementation']",900.0,,,,,
147974957,35,1618ESingers' Tour,1498.0,Ikkkkkkms,"['constructive algorithms', 'math']",1700.0,,,,,
147974956,36,1521ANastia and Nearly Good Numbers,945.0,code_kotto,"['constructive algorithms', 'math', 'number theory']",1000.0,,,,,
147974954,37,236ABoy or Girl,,vjudge5,"['brute force', 'implementation', 'strings']",800.0,,,,,
147974952,38,158ANext Round,361.0,abduazimerkinov2001,"['*special', 'implementation']",800.0,,,,,
147974950,39,1632BRoof Construction,1078.0,himanshupat95,"['bitmasks', 'constructive algorithms']",1000.0,,,,,
147974948,40,1362CJohnny and Another Rating Drop,869.0,kuldeepyadav12,"['bitmasks', 'greedy', 'math']",1400.0,,,,,
147974947,41,771ABear and Friendship Condition,1291.0,Animeshmaru,"['dfs and similar', 'dsu', 'graphs']",1500.0,,,,,
147974946,42,1480CSearching Local Minimum,602.0,ja3far,"['binary search', 'interactive', 'math', 'ternary search']",1700.0,,,,,
147974945,43,932BRecursive Queries,1421.0,AmrMohameD,"['binary search', 'data structures', 'dfs and similar']",1300.0,,,,,
147974944,44,1363AOdd Selection,902.0,Mahi_1403,"['brute force', 'implementation', 'math']",1200.0,,,,,
147974939,45,405AGravity Flip,,ward_8l,"['greedy', 'implementation', 'sortings']",900.0,,,,,
147974938,46,1607DBlue-Red Permutation,1038.0,tushar217,"['greedy', 'math', 'sortings']",1300.0,,,,,
147974937,47,144AArrival of the General,956.0,SatvikSingh,['implementation'],800.0,,,,,
147974936,48,1641ESpecial Positions,2173.0,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974935,49,1117CMagic Ship,1215.0,Error_403,['binary search'],1900.0,,,,,
147974934,50,1556BTake Your Places!,1254.0,sahilraj2903,['implementation'],1300.0,,,,,
147974932,51,681CHeap Operations,927.0,Ahmed-yaser,"['constructive algorithms', 'data structures', 'greedy']",1600.0,,,,,
147974931,52,1504A Déjà Vu,1103.0,vijay_746,"['constructive algorithms', 'strings']",800.0,,,,,
147974930,53,1592AGamer Hemose,899.0,viraj7403,"['binary search', 'greedy', 'math', 'sortings']",800.0,,,,,
147974928,54,1562CRings,1232.0,itsmecaptain4700,"['constructive algorithms', 'math']",1500.0,,,,,
147974927,55,550BPreparing Olympiad,736.0,ShouvikXIV,"['bitmasks', 'brute force']",1400.0,,,,,
147974926,56,371CHamburgers,1009.0,sparrow.Harsh,"['binary search', 'brute force']",1600.0,,,,,
147974925,57,99BHelp Chef Gerasim,1218.0,purushottam_1048,"['implementation', 'sortings']",1300.0,,,,,
147974924,58,670D1Magic Powder - 1,832.0,satyam954,"['binary search', 'brute force', 'implementation']",1400.0,,,,,
147974923,59,926EMerge Equal Elements,1644.0,Tenac-ious-,"['constructive algorithms', 'data structures']",1900.0,,,,,
147974920,60,492BVanya and Lanterns,844.0,asit_aks,"['binary search', 'implementation', 'math', 'sortings']",1200.0,,,,,
147974918,61,263ABeautiful Matrix,,rama_kh901,['implementation'],800.0,,,,,
147974917,62,1641ESpecial Positions,2173.0,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974915,63,1216APrefixes,1158.0,iAmShipul,['strings'],800.0,,,,,
147974914,64,4AWatermelon,,mo_gh,"['brute force', 'math']",800.0,,,,,
147974908,65,315ASereja and Bottles,1264.0,mr_cruise,['brute force'],1400.0,,,,,
147974907,66,1557BMoamen and k-subarrays,1031.0,mann_0310,"['greedy', 'sortings']",1100.0,,,,,
147974906,67,580AKefa and First Steps,985.0,cpmayank01,"['brute force', 'dp', 'implementation']",900.0,,,,,
147974905,68,102CHomework,796.0,Hossam_Hassan.,['greedy'],1200.0,,,,,
147974903,69,449BJzzhu and Cities,,bkifhr8,"['graphs', 'greedy', 'shortest paths']",2000.0,,,,,
147974902,70,1642CGreat Sequence,1294.0,g906360,"['greedy', 'sortings']",,,,,,
147974900,71,260BAncient Prophesy,1134.0,AkshitSingla,"['brute force', 'implementation', 'strings']",1600.0,,,,,
147974899,72,1635BAvoid Local Maximums,362.0,MM_Pioneer,['greedy'],800.0,,,,,
147974898,73,1633CKill the Monster,1203.0,vaibhav______________,"['brute force', 'math']",1100.0,,,,,
147974897,74,550BPreparing Olympiad,,bkifhr10,"['bitmasks', 'brute force']",1400.0,,,,,
147974896,75,160ATwins,613.0,ashu012002,"['greedy', 'sortings']",900.0,,,,,
147974895,76,1618CPaint the Array,738.0,INMESSIONANTE,['math'],1100.0,,,,,
147974894,77,994BKnights of a Polygonal Table,1457.0,airths,"['greedy', 'implementation', 'sortings']",1400.0,,,,,
147974890,78,1266BDice Tower,927.0,Anticipate,"['constructive algorithms', 'math']",1000.0,,,,,
147974889,79,556ACase of the Zeros and Ones,605.0,HTG_18,['greedy'],900.0,,,,,
147974886,80,1055AMetro,803.0,AnshumanSingh11,['graphs'],900.0,,,,,
147974885,81,734CAnton and Making Potions,2396.0,sohsoh,"['binary search', 'dp', 'greedy', 'two pointers']",1600.0,,,,,
