Submission_Id,Problem Name,User_Rating,User_Name,Tags,Problem_Rating,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
147975009,1037CEqualize,1212.0,akshayjadhav7670,"['dp', 'greedy', 'strings']",1300.0,,,,,
147975006,266BQueue at the School,912.0,aryans_18,"['constructive algorithms', 'graph matchings', 'implementation', 'shortest paths']",800.0,,,,,
147975005,1583BOmkar and Heavenly Tree,1297.0,abhishek_s3107,"['constructive algorithms', 'trees']",1200.0,,,,,
147975003,112APetya and Strings,,fjafari,"['implementation', 'strings']",800.0,,,,,
147975000,443AAnton and Letters,352.0,manish_rohila,"['constructive algorithms', 'implementation']",800.0,,,,,
147974999,771ABear and Friendship Condition,1291.0,Animeshmaru,"['dfs and similar', 'dsu', 'graphs']",1500.0,,,,,
147974998,616BDinner with Emma,,Bugagaga,"['games', 'greedy']",1000.0,,,,,
147974997,496AMinimum Difficulty,,hussainmohamed,"['brute force', 'implementation', 'math']",900.0,,,,,
147974996,189ACut Ribbon,1141.0,adityagoyal,"['brute force', 'dp']",1300.0,,,,,
147974995,1406BMaximum Product,995.0,horizon__,"['brute force', 'dp', 'greedy', 'implementation', 'sortings']",1200.0,,,,,
147974993,977AWrong Subtraction,765.0,AbdelrahmanTarek0.1,['implementation'],800.0,,,,,
147974992,1642CGreat Sequence,1043.0,wigbhavya12,"['greedy', 'sortings']",,,,,,
147974990,268BButtons,,rider_71,"['implementation', 'math']",1000.0,,,,,
147974988,513G2Inversions problem,2269.0,Be_dos,"['dp', 'probabilities']",2400.0,,,,,
147974987,1618ESingers' Tour,1498.0,Ikkkkkkms,"['constructive algorithms', 'math']",1700.0,,,,,
147974986,1613ALong Comparison,763.0,devansh_5402,"['implementation', 'math']",900.0,,,,,
147974982,143AHelp Vasilisa the Wise 2,725.0,kfa,"['brute force', 'math']",1000.0,,,,,
147974980,1641ESpecial Positions,2173.0,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974979,490ATeam Olympiad,715.0,Nawwaf,"['greedy', 'implementation', 'sortings']",800.0,,,,,
147974978,1556BTake Your Places!,1254.0,sahilraj2903,['implementation'],1300.0,,,,,
147974977,670D1Magic Powder - 1,832.0,satyam954,"['binary search', 'brute force', 'implementation']",1400.0,,,,,
147974975,556ACase of the Zeros and Ones,895.0,HridoyHazard,['greedy'],900.0,,,,,
147974974,1637CAndrew and Stones,,Ojesmahi02,"['greedy', 'implementation']",1200.0,,,,,
147974973,1398ABad Triangle,1045.0,its_arashk,"['geometry', 'math']",800.0,,,,,
147974970,996AHit the Lottery,,Ar0409,"['dp', 'greedy']",800.0,,,,,
147974969,1562BScenes From a Memory,880.0,pranab_roy,"['brute force', 'constructive algorithms', 'implementation', 'math', 'number theory']",1000.0,,,,,
147974968,579ARaising Bacteria,807.0,zhizhikkkk,['bitmasks'],1000.0,,,,,
147974967,1594CMake Them Equal,933.0,PipQuack,"['brute force', 'greedy', 'math', 'strings']",1200.0,,,,,
147974966,1578EEasy Scheduling,1369.0,itzashish135ranjan,"['implementation', 'math']",1200.0,,,,,
147974964,1335ACandies and Two Sisters,,divyanshi_agarwal,['math'],800.0,,,,,
147974963,1141AGame 23,819.0,RaBh1729,"['implementation', 'math']",1000.0,,,,,
147974962,339AHelpful Maths,366.0,Phod_de,"['greedy', 'implementation', 'sortings', 'strings']",800.0,,,,,
147974959,981AAntipalindrome,972.0,CnohtyPC,"['brute force', 'implementation', 'strings']",900.0,,,,,
147974958,580AKefa and First Steps,985.0,cpmayank01,"['brute force', 'dp', 'implementation']",900.0,,,,,
147974957,1618ESingers' Tour,1498.0,Ikkkkkkms,"['constructive algorithms', 'math']",1700.0,,,,,
147974956,1521ANastia and Nearly Good Numbers,945.0,code_kotto,"['constructive algorithms', 'math', 'number theory']",1000.0,,,,,
147974954,236ABoy or Girl,,vjudge5,"['brute force', 'implementation', 'strings']",800.0,,,,,
147974952,158ANext Round,361.0,abduazimerkinov2001,"['*special', 'implementation']",800.0,,,,,
147974950,1632BRoof Construction,1078.0,himanshupat95,"['bitmasks', 'constructive algorithms']",1000.0,,,,,
147974948,1362CJohnny and Another Rating Drop,869.0,kuldeepyadav12,"['bitmasks', 'greedy', 'math']",1400.0,,,,,
147974947,771ABear and Friendship Condition,1291.0,Animeshmaru,"['dfs and similar', 'dsu', 'graphs']",1500.0,,,,,
147974946,1480CSearching Local Minimum,602.0,ja3far,"['binary search', 'interactive', 'math', 'ternary search']",1700.0,,,,,
147974945,932BRecursive Queries,1421.0,AmrMohameD,"['binary search', 'data structures', 'dfs and similar']",1300.0,,,,,
147974944,1363AOdd Selection,902.0,Mahi_1403,"['brute force', 'implementation', 'math']",1200.0,,,,,
147974939,405AGravity Flip,,ward_8l,"['greedy', 'implementation', 'sortings']",900.0,,,,,
147974938,1607DBlue-Red Permutation,1038.0,tushar217,"['greedy', 'math', 'sortings']",1300.0,,,,,
147974937,144AArrival of the General,956.0,SatvikSingh,['implementation'],800.0,,,,,
147974936,1641ESpecial Positions,2173.0,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974935,1117CMagic Ship,1215.0,Error_403,['binary search'],1900.0,,,,,
147974934,1556BTake Your Places!,1254.0,sahilraj2903,['implementation'],1300.0,,,,,
147974932,681CHeap Operations,927.0,Ahmed-yaser,"['constructive algorithms', 'data structures', 'greedy']",1600.0,,,,,
147974931,1504A Déjà Vu,1103.0,vijay_746,"['constructive algorithms', 'strings']",800.0,,,,,
147974930,1592AGamer Hemose,899.0,viraj7403,"['binary search', 'greedy', 'math', 'sortings']",800.0,,,,,
147974928,1562CRings,1232.0,itsmecaptain4700,"['constructive algorithms', 'math']",1500.0,,,,,
147974927,550BPreparing Olympiad,736.0,ShouvikXIV,"['bitmasks', 'brute force']",1400.0,,,,,
147974926,371CHamburgers,1009.0,sparrow.Harsh,"['binary search', 'brute force']",1600.0,,,,,
147974925,99BHelp Chef Gerasim,1218.0,purushottam_1048,"['implementation', 'sortings']",1300.0,,,,,
147974924,670D1Magic Powder - 1,832.0,satyam954,"['binary search', 'brute force', 'implementation']",1400.0,,,,,
147974923,926EMerge Equal Elements,1644.0,Tenac-ious-,"['constructive algorithms', 'data structures']",1900.0,,,,,
147974920,492BVanya and Lanterns,844.0,asit_aks,"['binary search', 'implementation', 'math', 'sortings']",1200.0,,,,,
147974918,263ABeautiful Matrix,,rama_kh901,['implementation'],800.0,,,,,
147974917,1641ESpecial Positions,2173.0,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974915,1216APrefixes,1158.0,iAmShipul,['strings'],800.0,,,,,
147974914,4AWatermelon,,mo_gh,"['brute force', 'math']",800.0,,,,,
147974908,315ASereja and Bottles,1264.0,mr_cruise,['brute force'],1400.0,,,,,
147974907,1557BMoamen and k-subarrays,1031.0,mann_0310,"['greedy', 'sortings']",1100.0,,,,,
147974906,580AKefa and First Steps,985.0,cpmayank01,"['brute force', 'dp', 'implementation']",900.0,,,,,
147974905,102CHomework,796.0,Hossam_Hassan.,['greedy'],1200.0,,,,,
147974903,449BJzzhu and Cities,,bkifhr8,"['graphs', 'greedy', 'shortest paths']",2000.0,,,,,
147974902,1642CGreat Sequence,1294.0,g906360,"['greedy', 'sortings']",,,,,,
147974900,260BAncient Prophesy,1134.0,AkshitSingla,"['brute force', 'implementation', 'strings']",1600.0,,,,,
147974899,1635BAvoid Local Maximums,362.0,MM_Pioneer,['greedy'],800.0,,,,,
147974898,1633CKill the Monster,1203.0,vaibhav______________,"['brute force', 'math']",1100.0,,,,,
147974897,550BPreparing Olympiad,,bkifhr10,"['bitmasks', 'brute force']",1400.0,,,,,
147974896,160ATwins,613.0,ashu012002,"['greedy', 'sortings']",900.0,,,,,
147974895,1618CPaint the Array,738.0,INMESSIONANTE,['math'],1100.0,,,,,
147974894,994BKnights of a Polygonal Table,1457.0,airths,"['greedy', 'implementation', 'sortings']",1400.0,,,,,
147974890,1266BDice Tower,927.0,Anticipate,"['constructive algorithms', 'math']",1000.0,,,,,
147974889,556ACase of the Zeros and Ones,605.0,HTG_18,['greedy'],900.0,,,,,
147974886,1055AMetro,803.0,AnshumanSingh11,['graphs'],900.0,,,,,
147974885,734CAnton and Making Potions,2396.0,sohsoh,"['binary search', 'dp', 'greedy', 'two pointers']",1600.0,,,,,
147974883,1272FTwo Bracket Sequences,2057.0,Bedo_Sayed,"['dp', 'strings', 'two pointers']",2200.0,,,,,
147974882,320AMagic Numbers,1390.0,mdolchik,"['brute force', 'greedy']",900.0,,,,,
147974881,312BArcher,1666.0,Hydron,"['math', 'probabilities']",1300.0,,,,,
147974880,1642CGreat Sequence,1127.0,tanishka0107,"['greedy', 'sortings']",,,,,,
147974878,236ABoy or Girl,,vjudge3,"['brute force', 'implementation', 'strings']",800.0,,,,,
147974873,1615BAnd It's Non-Zero,1315.0,Iklaq_ahmad,"['bitmasks', 'greedy', 'math']",1300.0,,,,,
147974872,1613ALong Comparison,702.0,the_hungry_lad,"['implementation', 'math']",900.0,,,,,
147974871,1618ESingers' Tour,1498.0,Ikkkkkkms,"['constructive algorithms', 'math']",1700.0,,,,,
147974869,1352CK-th Not Divisible by n,1158.0,Mohd_Arbaz,"['binary search', 'math']",1200.0,,,,,
147974866,444DDZY Loves Strings,2634.0,leaf1415,"['binary search', 'hashing', 'strings', 'two pointers']",2500.0,,,,,
147974865,1ATheatre Square,,Khaled_3.141,['math'],1000.0,,,,,
147974863,698AVacations,1142.0,vaibhav_1710,['dp'],1400.0,,,,,
147974862,1480CSearching Local Minimum,602.0,ja3far,"['binary search', 'interactive', 'math', 'ternary search']",1700.0,,,,,
147974861,124AThe number of positions,413.0,mr_miraclee,['math'],1000.0,,,,,
147974859,550ATwo Substrings,1021.0,roshan2412,"['brute force', 'dp', 'greedy', 'implementation', 'strings']",1500.0,,,,,
147974857,1635ECars,1020.0,ltunjic,"['2-sat', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'sortings']",2200.0,,,,,
147974856,383CPropagating tree,1200.0,nikola352,"['data structures', 'dfs and similar', 'trees']",2000.0,,,,,
147974854,455CCivilization,1366.0,Indranildgupta,"['dfs and similar', 'dp', 'dsu', 'ternary search', 'trees']",2100.0,,,,,
147975048,676CVasya and String,1492.0,Ayushman_123,"['binary search', 'dp', 'strings', 'two pointers']",1500.0,,,,,
147975047,151BPhone Numbers,1166.0,wasd_IP7O2,"['implementation', 'strings']",1200.0,,,,,
147975045,1446AKnapsack,1423.0,ayerhs_7,"['constructive algorithms', 'greedy', 'sortings']",1300.0,,,,,
147975044,1644ADoors and Keys,2275.0,dnshgyl21,['implementation'],,,,,,
147975043,792CDivide by Three,964.0,michaelmonir,"['dp', 'greedy', 'math', 'number theory']",2000.0,,,,,
147975042,160ATwins,613.0,ashu012002,"['greedy', 'sortings']",900.0,,,,,
147975039,243AThe Brand New Function,,seashore,['bitmasks'],1600.0,,,,,
147975038,1635CDifferential Sorting,1221.0,amanverma21,"['constructive algorithms', 'greedy']",1200.0,,,,,
147975037,189ACut Ribbon,1141.0,adityagoyal,"['brute force', 'dp']",1300.0,,,,,
147975036,312BArcher,974.0,Cal_Cifer,"['math', 'probabilities']",1300.0,,,,,
147975035,1594DThe Number of Imposters,1082.0,original_name153,"['constructive algorithms', 'dfs and similar', 'dp', 'dsu', 'graphs']",1700.0,,,,,
147975033,1029DConcatenated Multiples,2101.0,Ruki,"['implementation', 'math']",1900.0,,,,,
147975032,225ADice Tower,,Elkfafy,"['constructive algorithms', 'greedy']",1100.0,,,,,
147975031,1335ACandies and Two Sisters,,divyanshi_agarwal,['math'],800.0,,,,,
147975029,1421DHexagons,1687.0,Hiranmoy,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'math', 'shortest paths']",1900.0,,,,,
147975027,339AHelpful Maths,,The_CodeFather,"['greedy', 'implementation', 'sortings', 'strings']",800.0,,,,,
147975026,4AWatermelon,,mo_gh,"['brute force', 'math']",800.0,,,,,
147975025,1333ALittle Artem,1313.0,wKai000,['constructive algorithms'],1000.0,,,,,
147975024,99BHelp Chef Gerasim,1218.0,purushottam_1048,"['implementation', 'sortings']",1300.0,,,,,
147975021,1271ASuits,,vjudge1,"['brute force', 'greedy', 'math']",800.0,,,,,
147975020,1635CDifferential Sorting,453.0,CHAT_WITH_HER,"['constructive algorithms', 'greedy']",1200.0,,,,,
147975018,1634COKEA,930.0,ashishkrg107,['constructive algorithms'],1000.0,,,,,
147975016,1633CKill the Monster,,prajjwalsahu5432,"['brute force', 'math']",1100.0,,,,,
147975015,361BLevko and Permutation,884.0,dikki99,"['constructive algorithms', 'math', 'number theory']",1200.0,,,,,
147975012,1642CGreat Sequence,1294.0,g906360,"['greedy', 'sortings']",,,,,,
147975009,1037CEqualize,1212.0,akshayjadhav7670,"['dp', 'greedy', 'strings']",1300.0,,,,,
147975006,266BQueue at the School,912.0,aryans_18,"['constructive algorithms', 'graph matchings', 'implementation', 'shortest paths']",800.0,,,,,
147975005,1583BOmkar and Heavenly Tree,1297.0,abhishek_s3107,"['constructive algorithms', 'trees']",1200.0,,,,,
147975003,112APetya and Strings,,fjafari,"['implementation', 'strings']",800.0,,,,,
147975000,443AAnton and Letters,352.0,manish_rohila,"['constructive algorithms', 'implementation']",800.0,,,,,
147974999,771ABear and Friendship Condition,1291.0,Animeshmaru,"['dfs and similar', 'dsu', 'graphs']",1500.0,,,,,
147974998,616BDinner with Emma,,Bugagaga,"['games', 'greedy']",1000.0,,,,,
147974997,496AMinimum Difficulty,,hussainmohamed,"['brute force', 'implementation', 'math']",900.0,,,,,
147974996,189ACut Ribbon,1141.0,adityagoyal,"['brute force', 'dp']",1300.0,,,,,
147974995,1406BMaximum Product,995.0,horizon__,"['brute force', 'dp', 'greedy', 'implementation', 'sortings']",1200.0,,,,,
147974993,977AWrong Subtraction,765.0,AbdelrahmanTarek0.1,['implementation'],800.0,,,,,
147974992,1642CGreat Sequence,1043.0,wigbhavya12,"['greedy', 'sortings']",,,,,,
147974990,268BButtons,,rider_71,"['implementation', 'math']",1000.0,,,,,
147974988,513G2Inversions problem,2269.0,Be_dos,"['dp', 'probabilities']",2400.0,,,,,
147974987,1618ESingers' Tour,1498.0,Ikkkkkkms,"['constructive algorithms', 'math']",1700.0,,,,,
147974986,1613ALong Comparison,763.0,devansh_5402,"['implementation', 'math']",900.0,,,,,
147974982,143AHelp Vasilisa the Wise 2,725.0,kfa,"['brute force', 'math']",1000.0,,,,,
147974980,1641ESpecial Positions,2173.0,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974979,490ATeam Olympiad,715.0,Nawwaf,"['greedy', 'implementation', 'sortings']",800.0,,,,,
147974978,1556BTake Your Places!,1254.0,sahilraj2903,['implementation'],1300.0,,,,,
147974977,670D1Magic Powder - 1,832.0,satyam954,"['binary search', 'brute force', 'implementation']",1400.0,,,,,
147974975,556ACase of the Zeros and Ones,895.0,HridoyHazard,['greedy'],900.0,,,,,
147974974,1637CAndrew and Stones,,Ojesmahi02,"['greedy', 'implementation']",1200.0,,,,,
147974973,1398ABad Triangle,1045.0,its_arashk,"['geometry', 'math']",800.0,,,,,
147974970,996AHit the Lottery,,Ar0409,"['dp', 'greedy']",800.0,,,,,
147974969,1562BScenes From a Memory,880.0,pranab_roy,"['brute force', 'constructive algorithms', 'implementation', 'math', 'number theory']",1000.0,,,,,
147974968,579ARaising Bacteria,807.0,zhizhikkkk,['bitmasks'],1000.0,,,,,
147974967,1594CMake Them Equal,933.0,PipQuack,"['brute force', 'greedy', 'math', 'strings']",1200.0,,,,,
147974966,1578EEasy Scheduling,1369.0,itzashish135ranjan,"['implementation', 'math']",1200.0,,,,,
147974964,1335ACandies and Two Sisters,,divyanshi_agarwal,['math'],800.0,,,,,
147974963,1141AGame 23,819.0,RaBh1729,"['implementation', 'math']",1000.0,,,,,
147974962,339AHelpful Maths,366.0,Phod_de,"['greedy', 'implementation', 'sortings', 'strings']",800.0,,,,,
147974959,981AAntipalindrome,972.0,CnohtyPC,"['brute force', 'implementation', 'strings']",900.0,,,,,
147974958,580AKefa and First Steps,985.0,cpmayank01,"['brute force', 'dp', 'implementation']",900.0,,,,,
147974957,1618ESingers' Tour,1498.0,Ikkkkkkms,"['constructive algorithms', 'math']",1700.0,,,,,
147974956,1521ANastia and Nearly Good Numbers,945.0,code_kotto,"['constructive algorithms', 'math', 'number theory']",1000.0,,,,,
147974954,236ABoy or Girl,,vjudge5,"['brute force', 'implementation', 'strings']",800.0,,,,,
147974952,158ANext Round,361.0,abduazimerkinov2001,"['*special', 'implementation']",800.0,,,,,
147974950,1632BRoof Construction,1078.0,himanshupat95,"['bitmasks', 'constructive algorithms']",1000.0,,,,,
147974948,1362CJohnny and Another Rating Drop,869.0,kuldeepyadav12,"['bitmasks', 'greedy', 'math']",1400.0,,,,,
147974947,771ABear and Friendship Condition,1291.0,Animeshmaru,"['dfs and similar', 'dsu', 'graphs']",1500.0,,,,,
147974946,1480CSearching Local Minimum,602.0,ja3far,"['binary search', 'interactive', 'math', 'ternary search']",1700.0,,,,,
147974945,932BRecursive Queries,1421.0,AmrMohameD,"['binary search', 'data structures', 'dfs and similar']",1300.0,,,,,
147974944,1363AOdd Selection,902.0,Mahi_1403,"['brute force', 'implementation', 'math']",1200.0,,,,,
147974939,405AGravity Flip,,ward_8l,"['greedy', 'implementation', 'sortings']",900.0,,,,,
147974938,1607DBlue-Red Permutation,1038.0,tushar217,"['greedy', 'math', 'sortings']",1300.0,,,,,
147974937,144AArrival of the General,956.0,SatvikSingh,['implementation'],800.0,,,,,
147974936,1641ESpecial Positions,2173.0,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974935,1117CMagic Ship,1215.0,Error_403,['binary search'],1900.0,,,,,
147974934,1556BTake Your Places!,1254.0,sahilraj2903,['implementation'],1300.0,,,,,
147974932,681CHeap Operations,927.0,Ahmed-yaser,"['constructive algorithms', 'data structures', 'greedy']",1600.0,,,,,
147974931,1504A Déjà Vu,1103.0,vijay_746,"['constructive algorithms', 'strings']",800.0,,,,,
147974930,1592AGamer Hemose,899.0,viraj7403,"['binary search', 'greedy', 'math', 'sortings']",800.0,,,,,
147974928,1562CRings,1232.0,itsmecaptain4700,"['constructive algorithms', 'math']",1500.0,,,,,
147974927,550BPreparing Olympiad,736.0,ShouvikXIV,"['bitmasks', 'brute force']",1400.0,,,,,
147974926,371CHamburgers,1009.0,sparrow.Harsh,"['binary search', 'brute force']",1600.0,,,,,
147974925,99BHelp Chef Gerasim,1218.0,purushottam_1048,"['implementation', 'sortings']",1300.0,,,,,
147974924,670D1Magic Powder - 1,832.0,satyam954,"['binary search', 'brute force', 'implementation']",1400.0,,,,,
147974923,926EMerge Equal Elements,1644.0,Tenac-ious-,"['constructive algorithms', 'data structures']",1900.0,,,,,
147974920,492BVanya and Lanterns,844.0,asit_aks,"['binary search', 'implementation', 'math', 'sortings']",1200.0,,,,,
147974918,263ABeautiful Matrix,,rama_kh901,['implementation'],800.0,,,,,
147974917,1641ESpecial Positions,2173.0,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974915,1216APrefixes,1158.0,iAmShipul,['strings'],800.0,,,,,
147974914,4AWatermelon,,mo_gh,"['brute force', 'math']",800.0,,,,,
147974908,315ASereja and Bottles,1264.0,mr_cruise,['brute force'],1400.0,,,,,
147974907,1557BMoamen and k-subarrays,1031.0,mann_0310,"['greedy', 'sortings']",1100.0,,,,,
147974906,580AKefa and First Steps,985.0,cpmayank01,"['brute force', 'dp', 'implementation']",900.0,,,,,
147974905,102CHomework,796.0,Hossam_Hassan.,['greedy'],1200.0,,,,,
147974903,449BJzzhu and Cities,,bkifhr8,"['graphs', 'greedy', 'shortest paths']",2000.0,,,,,
147974902,1642CGreat Sequence,1294.0,g906360,"['greedy', 'sortings']",,,,,,
147974900,260BAncient Prophesy,1134.0,AkshitSingla,"['brute force', 'implementation', 'strings']",1600.0,,,,,
147974899,1635BAvoid Local Maximums,362.0,MM_Pioneer,['greedy'],800.0,,,,,
147974898,1633CKill the Monster,1203.0,vaibhav______________,"['brute force', 'math']",1100.0,,,,,
147974897,550BPreparing Olympiad,,bkifhr10,"['bitmasks', 'brute force']",1400.0,,,,,
147975672,158ANext Round,1118.0,Atom01,"['*special', 'implementation']",800.0,,,,,
147975671,1503ABalance the Bits,1422.0,so7085490667,"['constructive algorithms', 'greedy']",1600.0,,,,,
147975670,1326D1Prefix-Suffix Palindrome (Easy version),1201.0,AnriEsoev,"['hashing', 'string suffix structures', 'strings']",1500.0,,,,,
147975669,1632CStrange Test,1038.0,Stardust8888,"['binary search', 'bitmasks', 'brute force', 'dp', 'math']",1600.0,,,,,
147975665,133AHQ9+,603.0,ssatendra790,['implementation'],900.0,,,,,
147975664,1499CMinimum Grid Path,1732.0,Garrus,"['brute force', 'data structures', 'greedy', 'math']",1500.0,,,,,
147975663,69AYoung Physicist,584.0,prottoy83,"['implementation', 'math']",1000.0,,,,,
147975662,1294CProduct of Three Numbers,,sid_14,"['greedy', 'math', 'number theory']",1300.0,,,,,
147975658,520APangram,,Rackozey,"['implementation', 'strings']",800.0,,,,,
147975657,1607CMinimum Extraction,1262.0,Chintan6602,"['brute force', 'sortings']",1000.0,,,,,
147975655,300AArray,1187.0,Unknown_Hacker,"['brute force', 'constructive algorithms', 'implementation']",1100.0,,,,,
147975653,33BString Problem,1618.0,Mxmxlredfild,['shortest paths'],1800.0,,,,,
147975651,116ATram,,abeermosaad,['implementation'],800.0,,,,,
147975650,1501BNapoleon Cake,889.0,singhharshit1011,"['dp', 'implementation', 'sortings']",900.0,,,,,
147975647,1513BAND Sequences,1084.0,pratham02,"['bitmasks', 'combinatorics', 'constructive algorithms', 'math']",1400.0,,,,,
147975645,"979APizza, Pizza, Pizza!!!",,KirillBalabanov,['math'],1000.0,,,,,
147975644,4AWatermelon,,AmirulIslamRafi,"['brute force', 'math']",800.0,,,,,
147975643,26AAlmost Prime,885.0,Aaditya_99,['number theory'],900.0,,,,,
147975641,876ATrip For Meal,,anjalikolekar038,['math'],900.0,,,,,
147975640,1480CSearching Local Minimum,1408.0,YENGOYAN,"['binary search', 'interactive', 'math', 'ternary search']",1700.0,,,,,
147975639,1562CRings,1232.0,itsmecaptain4700,"['constructive algorithms', 'math']",1500.0,,,,,
147975638,1561CDeep Down Below,,aggressor_,"['binary search', 'greedy', 'sortings']",1300.0,,,,,
147975637,71AWay Too Long Words,356.0,princevishwa,['strings'],800.0,,,,,
147975636,863BKayaking,948.0,TLE_GrandMaster,"['brute force', 'greedy', 'sortings']",1500.0,,,,,
147975635,1569BChess Tournament,1012.0,mohammadatif92080,['constructive algorithms'],1000.0,,,,,
147975634,1420ACubes Sorting,1027.0,ShubhangiAgrawal,"['math', 'sortings']",900.0,,,,,
147975632,1354DMultiset,1478.0,Aoi_Hill,"['binary search', 'data structures']",1900.0,,,,,
147975630,158ANext Round,1118.0,Atom01,"['*special', 'implementation']",800.0,,,,,
147975628,32BBorze,360.0,vaidehiyadav80,"['expression parsing', 'implementation']",800.0,,,,,
147975625,4AWatermelon,,egarcia23,"['brute force', 'math']",800.0,,,,,
147975624,1638EColorful Operations,1490.0,thehunterjames,"['brute force', 'data structures', 'implementation']",2400.0,,,,,
147975622,1594CMake Them Equal,924.0,sayemsub15,"['brute force', 'greedy', 'math', 'strings']",1200.0,,,,,
