Submission_Id,Problem Name,User_Rating,User_Name,Tags,Tags_n,Problem_Rating,,,,,
147975009,1037CEqualize,1212,akshayjadhav7670,"['dp', 'greedy', 'strings']","['dp', 'greedy', 'strings']",1300,,,,,
147975006,266BQueue at the School,912,aryans_18,"['constructive algorithms', 'graph matchings', 'implementation', 'shortest paths']","['constructive algorithms', 'graph matchings', 'implementation', 'shortest paths']",800,,,,,
147975005,1583BOmkar and Heavenly Tree,1297,abhishek_s3107,"['constructive algorithms', 'trees']","['constructive algorithms', 'trees']",1200,,,,,
147975003,112APetya and Strings,,fjafari,"['implementation', 'strings']","['implementation', 'strings']",800,,,,,
147975000,443AAnton and Letters,352,manish_rohila,"['constructive algorithms', 'implementation']","['constructive algorithms', 'implementation']",800,,,,,
147974999,771ABear and Friendship Condition,1291,Animeshmaru,"['dfs and similar', 'dsu', 'graphs']","['dfs and similar', 'dsu', 'graphs']",1500,,,,,
147974998,616BDinner with Emma,,Bugagaga,"['games', 'greedy']","['games', 'greedy']",1000,,,,,
147974997,496AMinimum Difficulty,,hussainmohamed,"['brute force', 'implementation', 'math']","['brute force', 'implementation', 'math']",900,,,,,
147974996,189ACut Ribbon,1141,adityagoyal,"['brute force', 'dp']","['brute force', 'dp']",1300,,,,,
147974995,1406BMaximum Product,995,horizon__,"['brute force', 'dp', 'greedy', 'implementation', 'sortings']","['brute force', 'dp', 'greedy', 'implementation', 'sortings']",1200,,,,,
147974993,977AWrong Subtraction,765,AbdelrahmanTarek0.1,['implementation'],['implementation'],800,,,,,
147974992,1642CGreat Sequence,1043,wigbhavya12,"['greedy', 'sortings']","['greedy', 'sortings']",,,,,,
147974990,268BButtons,,rider_71,"['implementation', 'math']","['implementation', 'math']",1000,,,,,
147974988,513G2Inversions problem,2269,Be_dos,"['dp', 'probabilities']","['dp', 'probabilities']",2400,,,,,
147974987,1618ESingers' Tour,1498,Ikkkkkkms,"['constructive algorithms', 'math']","['constructive algorithms', 'math']",1700,,,,,
147974986,1613ALong Comparison,763,devansh_5402,"['implementation', 'math']","['implementation', 'math']",900,,,,,
147974982,143AHelp Vasilisa the Wise 2,725,kfa,"['brute force', 'math']","['brute force', 'math']",1000,,,,,
147974980,1641ESpecial Positions,2173,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']","['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974979,490ATeam Olympiad,715,Nawwaf,"['greedy', 'implementation', 'sortings']","['greedy', 'implementation', 'sortings']",800,,,,,
147974978,1556BTake Your Places!,1254,sahilraj2903,['implementation'],['implementation'],1300,,,,,
147974977,670D1Magic Powder - 1,832,satyam954,"['binary search', 'brute force', 'implementation']","['binary search', 'brute force', 'implementation']",1400,,,,,
147974975,556ACase of the Zeros and Ones,895,HridoyHazard,['greedy'],['greedy'],900,,,,,
147974974,1637CAndrew and Stones,,Ojesmahi02,"['greedy', 'implementation']","['greedy', 'implementation']",1200,,,,,
147974973,1398ABad Triangle,1045,its_arashk,"['geometry', 'math']","['geometry', 'math']",800,,,,,
147974970,996AHit the Lottery,,Ar0409,"['dp', 'greedy']","['dp', 'greedy']",800,,,,,
147974969,1562BScenes From a Memory,880,pranab_roy,"['brute force', 'constructive algorithms', 'implementation', 'math', 'number theory']","['brute force', 'constructive algorithms', 'implementation', 'math', 'number theory']",1000,,,,,
147974968,579ARaising Bacteria,807,zhizhikkkk,['bitmasks'],['bitmasks'],1000,,,,,
147974967,1594CMake Them Equal,933,PipQuack,"['brute force', 'greedy', 'math', 'strings']","['brute force', 'greedy', 'math', 'strings']",1200,,,,,
147974966,1578EEasy Scheduling,1369,itzashish135ranjan,"['implementation', 'math']","['implementation', 'math']",1200,,,,,
147974964,1335ACandies and Two Sisters,,divyanshi_agarwal,['math'],['math'],800,,,,,
147974963,1141AGame 23,819,RaBh1729,"['implementation', 'math']","['implementation', 'math']",1000,,,,,
147974962,339AHelpful Maths,366,Phod_de,"['greedy', 'implementation', 'sortings', 'strings']","['greedy', 'implementation', 'sortings', 'strings']",800,,,,,
147974959,981AAntipalindrome,972,CnohtyPC,"['brute force', 'implementation', 'strings']","['brute force', 'implementation', 'strings']",900,,,,,
147974958,580AKefa and First Steps,985,cpmayank01,"['brute force', 'dp', 'implementation']","['brute force', 'dp', 'implementation']",900,,,,,
147974957,1618ESingers' Tour,1498,Ikkkkkkms,"['constructive algorithms', 'math']","['constructive algorithms', 'math']",1700,,,,,
147974956,1521ANastia and Nearly Good Numbers,945,code_kotto,"['constructive algorithms', 'math', 'number theory']","['constructive algorithms', 'math', 'number theory']",1000,,,,,
147974954,236ABoy or Girl,,vjudge5,"['brute force', 'implementation', 'strings']","['brute force', 'implementation', 'strings']",800,,,,,
147974952,158ANext Round,361,abduazimerkinov2001,"['*special', 'implementation']","['*special', 'implementation']",800,,,,,
147974950,1632BRoof Construction,1078,himanshupat95,"['bitmasks', 'constructive algorithms']","['bitmasks', 'constructive algorithms']",1000,,,,,
147974948,1362CJohnny and Another Rating Drop,869,kuldeepyadav12,"['bitmasks', 'greedy', 'math']","['bitmasks', 'greedy', 'math']",1400,,,,,
147974947,771ABear and Friendship Condition,1291,Animeshmaru,"['dfs and similar', 'dsu', 'graphs']","['dfs and similar', 'dsu', 'graphs']",1500,,,,,
147974946,1480CSearching Local Minimum,602,ja3far,"['binary search', 'interactive', 'math', 'ternary search']","['binary search', 'interactive', 'math', 'ternary search']",1700,,,,,
147974945,932BRecursive Queries,1421,AmrMohameD,"['binary search', 'data structures', 'dfs and similar']","['binary search', 'data structures', 'dfs and similar']",1300,,,,,
147974944,1363AOdd Selection,902,Mahi_1403,"['brute force', 'implementation', 'math']","['brute force', 'implementation', 'math']",1200,,,,,
147974939,405AGravity Flip,,ward_8l,"['greedy', 'implementation', 'sortings']","['greedy', 'implementation', 'sortings']",900,,,,,
147974938,1607DBlue-Red Permutation,1038,tushar217,"['greedy', 'math', 'sortings']","['greedy', 'math', 'sortings']",1300,,,,,
147974937,144AArrival of the General,956,SatvikSingh,['implementation'],['implementation'],800,,,,,
147974936,1641ESpecial Positions,2173,rainboy,"['combinatorics', 'divide and conquer', 'fft', 'math']","['combinatorics', 'divide and conquer', 'fft', 'math']",,,,,,
147974935,1117CMagic Ship,1215,Error_403,['binary search'],['binary search'],1900,,,,,
147974934,1556BTake Your Places!,1254,sahilraj2903,['implementation'],['implementation'],1300,,,,,
147974932,681CHeap Operations,927,Ahmed-yaser,"['constructive algorithms', 'data structures', 'greedy']","['constructive algorithms', 'data structures', 'greedy']",1600,,,,,
147974931,1504A Déjà Vu,1103,vijay_746,"['constructive algorithms', 'strings']","['constructive algorithms', 'strings']",800,,,,,
